accident_id,date ,time,latitude,longitude,no_of_vehicle,road_classification,collison_type,wheather_condition,light_condition,visibility,severnity,,,
202219393410026,12-08-2022,9:45AM,18.447118,73.837871,  2,  national highway,vehicle to vehicle,sunny,day,100m,grievous injury,grievous injury,,
202219393410027,29-06-2022,12:50AM,18.466101,73.817034,2,local road,vehicle to pedestrian,sunny,day,75m,grievous injury,grievous injury,,
202219393410025,19-08-2022,6:00AM,18.460940,73.821872,2,local road,vehicle to vehicle,sunny,night,100m,grievous injury,grievous injury,,
202219393410024,12-06-2022,9.42AM,18.456142,73.820632,1,local road,vehicle to pedestrian,sunny,day,75m,simple injury,simple injury,,
202219393410022,04-06-2022,10.00pm,18.453996,73.827851,1,national highway,vehicle to vehicle,sunny,day,75m,grievous injury,grievous injury,,
202219393410021,30-06-2022,4.20am,18.453996,73.827851,1,local road,vehicle to vehicle,sunny,night,100m,grievous injury,grievous injury,,a
202219393410020,30-08-2022,4.20pm,18.453996,73.827851,1,local road,vehicle to pedestrian,sunny,day,25m,grievous injury,grievous injury,,
202219393410019,27-09-2022,4045pm,18.453996,73.827851,2,local road,vehicle to pedestrian,sunny,night,75m,grievous injury,grievous injury,,
202219393410016,11-01-2022,5.30pm,18.459358,73.823597,2,local road,vehicle to pedestrian,sunny,day,100m,grievous injury,grievous injury,,
202219393410014,22-05-2022,3.40pm,18.451562,73.830123,1,expressway,vehicle to vehicle,sunny,twilight,75m,grievous injury,grievous injury,,
202219393410013,26-02-2022,1.45pm,18.452011,73.829751,2,expressway,vehicle to vehicle,sunny,day,25m,fatal,fatal,,
20221939341009,30-03-2022,8.30am,18.456295,73.825214,2,national highway,vehicle to vehicle,sunny,day,75m,simple injury,simple injury,,
20221939341002,02-01-2022,8.30pm,18.473915,73.810510,1,national highway,vehicle to vehicle,sunny,night,100m,fatal,fatal,,
202219393410001,16-02-2022,10.20am,18.743857,73.810049,5,national highway,vehicle to vehicle,sunny,day,100m,simple injury,simple injury,,
202119393410053,19-06-2021,6.30pm,18.453996,73.827851,1,local road,vehicle to pedestrian,sunny,twilight,100m,fatal,fatal,,
2021193410052,11-01-2021,9.30am,18.453996,73.827851,2,national highway,vehicle to vehicle,sunny,day,100m,grievous injury,grievous injury,,
2021193934100540,08-02-2021,7.00pm,18.473798,73.822127,1,local road,vehicle to pedestrian,sunny,night,100m,grievous injury,grievous injury,,
202119393410050,23-10-2021,12.20pm,18.456559,73.825807,2,national highway,vehicle to vehicle,sunny,day,100m,grievous injury,grievous injury,,
202119393410049,07-05-2021,3.20am,18.459388,73.825035,1,expressway,vehicle to object,sunny,night,100m,simple injury,simple injury,,
202119393410048,17sepr2021,9.30pm,18.463449,73.819123,1,local road,vehicle to pedestrian,sunny,night,100m,fatal,fatal,,
202119393410047,26-09-2021,12.30pm,18.463449,73.819123,1,local road,vehicle to pedestrian,sunny,day,100m,grievous injury,grievous injury,,
202119393410046,04-11-2021,4:00pm,18.463449,73.819123,1,national highway,vehicle to pedestrian,sunny,day,100m,grievous injury,grievous injury,,
202119393410045,05-10-2021,9.30am,18.463156,73.819185,1,national highway,vehicle to pedestrian,sunny,day,100m,grievous injury,grievous injury,,
202119393410044,25-01-2021,5.20pm,18.457953,73.826365,2,local road,vehicle to vehicle,sunny,twilight,100m,fatal,fatal,,
202119393410043,18-02-2021,4.30pm,18.457953,73.826365,2,expressway,vehicle to vehicle,sunny,day,75m,fatal,fatal,,
202119393410042,11-01-2021,3.00pm,18.452562,73.828921,2,local road,vehicle to vehicle,sunny,day,100m,fatal,fatal,,
202119393410041,15-01-2021,7.00pm,18.452562,73.828921,2,national highway,vehicle to vehicle,sunny,twilight,100m,fatal,fatal,,
